Epoch	Time(sec)	Loss_E	Loss_V	MAE_val(eV)	MAE_test(eV)
10	23.83937849989161	191.83423614501953	137.55384063720703	7.793859004974365,2.3042030334472656	7.996507167816162,1.1925045251846313
11	27.480311199789867	180.01454734802246	114.00092220306396	7.763891220092773,2.3024394512176514	7.965076446533203,1.1917908191680908
12	29.689918999793008	183.43450164794922	99.06332588195801	7.730687618255615,2.300222396850586	7.92989444732666,1.1908892393112183
0	7.166262699989602	200.49998092651367	215.15662384033203	7.991232395172119,2.316169261932373	8.198518753051758,1.1972633600234985
13	32.13425439991988	186.5151824951172	84.49063777923584	7.692949295043945,2.29758358001709	7.889645576477051,1.1898249387741089
1	9.546808599960059	198.02699279785156	211.49608612060547	7.976395606994629,2.3151235580444336	8.183547019958496,1.1968412399291992
14	33.81310209981166	188.81226539611816	71.62710666656494	7.649336338043213,2.2933661937713623	7.843132019042969,1.1881407499313354
2	11.34309669979848	199.63955307006836	220.8038444519043	7.961232662200928,2.31428861618042	8.168230056762695,1.196506142616272
15	35.55922359996475	186.03424072265625	48.4282488822937	7.598827838897705,2.2882742881774902	7.789548397064209,1.1861034631729126
3	13.126624699914828	192.79699325561523	198.76984786987305	7.945096969604492,2.31302547454834	8.1519136428833,1.195992112159729
16	37.596035399939865	172.6418342590332	37.522603034973145	7.541077613830566,2.2825636863708496	7.727642059326172,1.1838334798812866
4	15.356720499927178	197.72977447509766	193.3746566772461	7.927796840667725,2.3117594718933105	8.134367942810059,1.1954950094223022
17	39.06498419982381	173.01375198364258	32.75111198425293	7.475041389465332,2.276439666748047	7.656630039215088,1.181388258934021
5	17.138742399867624	186.20693016052246	185.94104766845703	7.909223556518555,2.310563802719116	8.115549087524414,1.1950346231460571
18	40.89358629984781	179.16479301452637	30.128779888153076	7.398618698120117,2.267462730407715	7.573996067047119,1.177826166152954
6	18.49863970000297	190.89838027954102	179.56779670715332	7.889656066894531,2.3091230392456055	8.095595359802246,1.19448721408844
19	42.17842040001415	163.91472053527832	32.32509469985962	7.310068130493164,2.255495309829712	7.4776530265808105,1.1730742454528809
7	20.122932399855927	199.8581657409668	179.40940475463867	7.868770599365234,2.3079257011413574	8.074092864990234,1.194017767906189
20	43.6766238999553	171.2175464630127	32.834497928619385	7.2075886726379395,2.240121364593506	7.365956783294678,1.1669588088989258
8	21.40106389997527	192.57651138305664	165.33705711364746	7.845935821533203,2.3066940307617188	8.050500869750977,1.1935161352157593
21	45.11814749985933	167.27680206298828	30.292874336242676	7.087183952331543,2.2215945720672607	7.235557556152344,1.159541368484497
9	22.921877999790013	196.15557479858398	150.57024002075195	7.821200847625732,2.3051180839538574	8.02489185333252,1.1928569078445435
22	46.56776969996281	153.511962890625	31.46742868423462	6.947517395019531,2.1981277465820312	7.083169460296631,1.1501604318618774
10	24.503895499976352	191.83423614501953	137.55384063720703	7.793859004974365,2.3042030334472656	7.996507167816162,1.1925045251846313
23	48.04486999986693	151.5534954071045	31.180636405944824	6.787787437438965,2.172245979309082	6.907667636871338,1.1398566961288452
11	26.22150839981623	180.01454734802246	114.00092220306396	7.763891220092773,2.3024394512176514	7.965076446533203,1.1917908191680908
24	49.821304499870166	149.20795822143555	29.406932830810547	6.604428291320801,2.1423439979553223	6.706192970275879,1.1279281377792358
12	28.070116699906066	183.43450164794922	99.06332588195801	7.730687618255615,2.300222396850586	7.92989444732666,1.1908892393112183
25	52.0981930999551	128.58220291137695	31.446446418762207	6.394217014312744,2.104923963546753	6.475887298583984,1.1129742860794067
13	30.38863699999638	186.5151824951172	84.49063777923584	7.692949295043945,2.29758358001709	7.889645576477051,1.1898249387741089
26	54.10703929979354	125.45109367370605	32.297261238098145	6.157570838928223,2.0630931854248047	6.2153544425964355,1.0962491035461426
14	32.01134420000017	188.81226539611816	71.62710666656494	7.649336338043213,2.2933661937713623	7.843132019042969,1.1881407499313354
27	56.08596599986777	123.47928428649902	31.534732818603516	5.889024257659912,2.0209221839904785	5.9205522537231445,1.0793399810791016
15	34.2182539999485	186.03424072265625	48.4282488822937	7.598827838897705,2.2882742881774902	7.789548397064209,1.1861034631729126
28	58.00356089998968	103.06204986572266	32.48659896850586	5.585901737213135,1.9724578857421875	5.587986946105957,1.0599197149276733
16	35.85129429982044	172.6418342590332	37.522603034973145	7.541077613830566,2.2825636863708496	7.727642059326172,1.1838334798812866
29	59.64746219990775	92.27689170837402	30.59535312652588	5.251578330993652,1.921442985534668	5.220996379852295,1.039466381072998
17	37.49604699993506	173.01375198364258	32.75111198425293	7.475041389465332,2.276439666748047	7.656630039215088,1.181388258934021
30	61.31662119994871	86.1060037612915	30.556822776794434	4.883939743041992,1.8624593019485474	4.8142218589782715,1.0161278247833252
18	38.81829969980754	179.16479301452637	30.128779888153076	7.398618698120117,2.267462730407715	7.573996067047119,1.177826166152954
31	62.59780869982205	75.87884902954102	30.42598867416382	4.477904796600342,1.7968368530273438	4.363427639007568,0.9903335571289062
19	40.09975749999285	163.91472053527832	32.32509469985962	7.310068130493164,2.255495309829712	7.4776530265808105,1.1730742454528809
32	63.781168199842796	68.23050880432129	31.030547618865967	4.043127536773682,1.7894799709320068	3.8830273151397705,1.0075384378433228
20	41.17062019999139	171.2175464630127	32.834497928619385	7.2075886726379395,2.240121364593506	7.365956783294678,1.1669588088989258
33	65.06147549999878	60.827880859375	30.7018985748291	3.5760865211486816,1.7825368642807007	3.368436574935913,1.0244154930114746
21	42.557143499841914	167.27680206298828	30.292874336242676	7.087183952331543,2.2215945720672607	7.235557556152344,1.159541368484497
34	66.24168259999715	44.075775146484375	29.498472213745117	3.0731101036071777,1.7740232944488525	2.822209119796753,1.0412017107009888
22	43.697402799967676	153.511962890625	31.46742868423462	6.947517395019531,2.1981277465820312	7.083169460296631,1.1501604318618774
35	67.80752049991861	39.48901891708374	30.771125316619873	2.563286781311035,1.7653887271881104	2.267443895339966,1.058032751083374
23	45.291327299783006	151.5534954071045	31.180636405944824	6.787787437438965,2.172245979309082	6.907667636871338,1.1398566961288452
36	69.87672249996103	32.04401254653931	29.743287563323975	2.0449953079223633,1.7554397583007812	1.7093242406845093,1.0758949518203735
24	47.4973482999485	149.20795822143555	29.406932830810547	6.604428291320801,2.1423439979553223	6.706192970275879,1.1279281377792358
37	81.14246719982475	23.03817868232727	32.78239297866821	1.5452394485473633,1.745684027671814	1.174817442893982,1.1229560375213623
25	58.947578499792144	128.58220291137695	31.446446418762207	6.394217014312744,2.104923963546753	6.475887298583984,1.1129742860794067
38	83.30095019983128	21.99110698699951	31.150564670562744	1.1112792491912842,1.7425248622894287	0.7078282237052917,1.1307014226913452
26	61.044910499826074	125.45109367370605	32.297261238098145	6.157570838928223,2.0630931854248047	6.2153544425964355,1.0962491035461426
